"area";"selection";"stop";"length_mean";"length_median";"min_length";"max_length";"se";"correlation";"rmse";"bias";"min_exp";"max_exp";"n_exp0";"n_exp_rmax";"overlap"
"CN";"MIF";"TF20";20;20;20;20;0,240318877588511;0,946946759744053;0,237625456144778;0,0236898289965037;0;1;604;24;0,384828052396025
"CN";"MIF";"TF20";20;20;20;20;0,242175922733499;0,944940414498583;0,245836368844481;0,0364457770920542;0;1;604;24;0,386520245854186
"CN";"MIF";"TF20";20;20;20;20;0,242250171106878;0,94864956931194;0,238001838150544;0,0323031103743066;0;1;610;24;0,382050338987314
"CN";"MIF";"TF20";20;20;20;20;0,241610788132779;0,953338135545542;0,225526278411059;0,031872701153033;0;1;609;24;0,384499948405717
"CN";"MIF";"TF20";20;20;20;20;0,2437868994662;0,947176830172631;0,240966202345719;0,0393834617281922;0;1;605;25;0,383935461394503
"CN";"MIF";"EP30";20,5473965287049;15;15;60;0,243452200766658;0,947603188518098;0,231751752652387;0,0130241047661915;0;1;590;20;0,344312417519318
"CN";"MIF";"EP30";20,7988429016466;15;15;60;0,244689995228006;0,945476267458199;0,238628366609468;0,0258012463936348;0;1;588;20;0,342615621632428
"CN";"MIF";"EP30";20,8660436137072;15;15;60;0,244439625002075;0,947382228020927;0,234176039666372;0,0204532982427174;0;1;588;20;0,340315109866709
"CN";"MIF";"EP30";20,9145527369826;15;15;60;0,2439677458776;0,948666548602306;0,231971544826365;0,0162781362732177;0;1;587;20;0,339380468895341
"CN";"MIF";"EP30";20,8224299065421;15;15;60;0,244176497344373;0,943053200011294;0,242950631372514;0,0154228023659798;0;1;584;20;0,340044379749025
"CN";"MIF";"EP30";20,8108589230085;15;15;60;0,244157671294483;0,945050504069477;0,23828345654044;0,0208730480070754;0;1;587;20;0,341378161534475
"CN";"MIF";"EP30";20,9185580774366;15;15;60;0,24505299954441;0,947313065331091;0,236443967697216;0,0215552713716167;0;1;586;20;0,339046091277558
"CN";"MIF";"EP30";20,7467734757454;15;15;60;0,244023425206133;0,945199018234192;0,23968876761134;0,0183903804717017;0;1;583;20;0,339461028240341
